,Exchanges,id,Cash Ratio,Current Ratio,TT Liabilities on Equity,TT Liabilities on Asset,ST Liabilities on TT Liabilities,ST Liabilities on Equity,ST Liabilities on Asset,TT Debt on TT Liabilities,TT Debt on Equity,TT Debt on Asset,ST Debt on TT Liabilities,ST Debt on ST Liabilities,ST Debt on TT Debt,ST Debt on Equity,ST Debt on Asset,ROE,ROA,Gross Profit Margin,EBITDA Margin,Operating Profit Margin,Income Aft Tax Margin,Asset Turnover Ratio,Inflation,GDP,Industry,Industry_year
52,HOSE,GAS_2018,0.112286944125494,3.455165546,0.3891855758659603,0.2801537696815059,0.6753414482045504,0.2628331504256396,0.1891994525366723,0.1935815465626618,0.0753391456760127,0.0542326000103057,0.0,0.0,0.0,0.0,0.0,0.2541217871709243,0.182928610536829,23.133131681,21.880868504,19.284181255,15.485155459,1.214606596,3.6,310.11,tienIch,tienIch_2018
53,HOSE,SII_2018,0.0660332542923658,2.19914239,1.802396858542069,0.6431626031295781,0.1054703368892639,0.190099403878583,0.0678345764266525,0.5247694744480925,0.9458428522040148,0.3375121012289758,0.0,0.0,0.0,0.0,0.0,0.0390709321652401,0.0139419697271451,-7.043698142,6.059309454,-55.869521309,11.595040073,0.07721259,3.6,310.11,tienIch,tienIch_2018
54,HNX,PIC_2018,0.003992487186724,0.631964688,0.6830987261542389,0.4058577881090942,0.25208968599913,0.1722021433826278,0.102312562364723,0.7479103140008699,0.5108965827716112,0.3035452257443711,0.0,0.0,0.0,0.0,0.0,0.0787078732145138,0.0467636698862776,53.734302906,65.392005984,26.957430203,25.210657652,0.185546145,3.6,310.11,tienIch,tienIch_2018
57,HOSE,S4A_2018,0.2287286906001295,0.933515468,1.3406497408605285,0.5727682008413549,0.1418497497165066,0.1901708301985654,0.08124702593492,0.8581502502834933,1.150478910661963,0.4915211749064349,0.0,0.0,0.0,0.0,0.0,0.2737075776112593,0.1169365808286504,65.299429766,63.458446276,44.889126501,42.700003241,0.260680258,3.6,310.11,tienIch,tienIch_2018
58,HOSE,HID_2018,0.4249712476215965,3.584006142,0.1451215775788239,0.1267302794919472,0.7977536725827921,0.1157712714845153,0.1010995458921446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161343697419404,0.0140896565551179,5.787664742,3.504071429,2.762780575,1.489151858,0.934933173,3.6,310.11,tienIch,tienIch_2018
59,HNX,DTK_2018,0.0099143307638952,0.561037775,2.372543508853909,0.7034878875914548,0.4028510445941435,0.955781630886852,0.283400830375545,0.5843201457487487,1.3863249688887638,0.4110621450099181,0.0283539907982576,0.0703833120919996,0.0485247530904908,0.0672710768185096,0.0199466890914538,0.0689368642292815,0.0204406152354453,16.88495169,31.40040063,5.036734876,4.025950579,0.464921582,3.6,310.11,tienIch,tienIch_2018
60,HOSE,GEG_2018,0.0921342810548052,2.328231961,1.0031583223930878,0.5007883356891418,0.2419009006388257,0.2426649016702214,0.121141149432622,0.6760023998685869,0.678137433385873,0.3385341167520553,0.0256180983754217,0.1059032781927146,0.0378964606936334,0.0256990085891891,0.0128292448489481,0.0664693321334676,0.0331822659199796,54.692907354,58.379308902,37.014661397,33.471061349,0.185902264,3.6,310.11,tienIch,tienIch_2018
61,HOSE,BWE_2018,0.0626251187960789,0.607165921,2.3415367781017684,0.700736497484229,0.2528076803285263,0.5919584812758395,0.1771515684505241,0.2169352601693341,0.5079618901535714,0.1520144543918891,0.0463282303175336,0.1832548372633677,0.2135578618310872,0.1084792551528743,0.0324638818473511,0.0788002282263215,0.0235820322980511,39.648438349,40.433026191,15.750889569,14.789621674,0.176879658,3.6,310.11,tienIch,tienIch_2018
62,HOSE,POW_2018,0.0098919985818785,0.867984752,1.3712683236429266,0.5782847558710866,0.5228597758789928,0.7169810483699028,0.3023618378489944,0.4168976887824277,0.5716785948272902,0.2410855781807664,0.0210082572485707,0.0401795246407188,0.0503918774650117,0.0288079576999069,0.0121487549142667,0.0784010462473115,0.0330629163581337,13.705540721,23.050132432,7.560293265,7.001496972,0.550355881,3.6,310.11,tienIch,tienIch_2018
64,HNX,NTH_2018,0.0353663589877973,0.387918463,1.1401711678794226,0.5327476535665943,0.2179019883348333,0.2484455645229752,0.1160867729928778,0.7820980116651667,0.8917256033564475,0.4166608805737164,0.0,0.0,0.0,0.0,0.0,0.186163664567197,0.0869854090960675,51.550005209,68.054186297,28.612569669,28.441959453,0.29207695,3.6,310.11,tienIch,tienIch_2018
